Address,Type,Access,Name,Unit,Description
6462,short,RD/WR,_W_TARIF,-,"Current rate, real/apparent energy"
6463,short,RD/WR,_Q_TARIF,-,"Current rate, reactive energy"
6572,float,RD/WR,_IQH[0],varh,"Reactive energy L1, inductive"
6574,float,RD/WR,_IQH[1],varh,"Reactive energy L2, inductive"
6576,float,RD/WR,_IQH[2],varh,"Reactive energy L3, inductive"
6578,float,RD/WR,_IQH[3],varh,"Reactive energy L4, inductive"
6580,float,RD/WR,_IQH[4],varh,"Reactive energy L1..L3, inductive"
6582,float,RD/WR,_IQH[5],varh,"Reactive energy L1..L4, inductive"
6584,float,RD/WR,_CQH[0],varh,"Reactive energy L1, capacitive"
6586,float,RD/WR,_CQH[1],varh,"Reactive energy L2, capacitive"
6588,float,RD/WR,_CQH[2],varh,"Reactive energy L3, capacitive"
6590,float,RD/WR,_CQH[3],varh,"Reactive energy L4, capacitive"
6592,float,RD/WR,_CQH[4],varh,"Reactive energy L1..L3, capacitive"
6594,float,RD/WR,_CQH[5],varh,"Reactive energy L1..L4, capacitive"
6596,float,RD/WR,_IQH_HT[0],varh,"Reactive energy L1, inductive, rate 1"
6598,float,RD/WR,_IQH_HT[1],varh,"Reactive energy L2, inductive, rate 1"
6600,float,RD/WR,_IQH_HT[2],varh,"Reactive energy L3, inductive, rate 1"
6602,float,RD/WR,_IQH_HT[3],varh,"Reactive energy L4, inductive, rate 1"
6604,float,RD/WR,_IQH_HT[4],varh,"Reactive energy L1..L3, inductive, rate 1"
6606,float,RD/WR,_IQH_HT[5],varh,"Reactive energy L1..L4, inductive, rate 1"
6608,float,RD/WR,_IQH_NT[0],varh,"Reactive energy L1, inductive, rate 2"
6610,float,RD/WR,_IQH_NT[1],varh,"Reactive energy L2, inductive, rate 2"
6612,float,RD/WR,_IQH_NT[2],varh,"Reactive energy L3, inductive, rate 2"
6614,float,RD/WR,_IQH_NT[3],varh,"Reactive energy L4, inductive, rate 2"
6616,float,RD/WR,_IQH_NT[4],varh,"Reactive energy L1..L3, inductive, rate 2"
6618,float,RD/WR,_IQH_NT[5],varh,"Reactive energy L1..L4, inductive, rate 2"
6628,float,RD,_SPU012,V,Star connection voltage
6630,short,RD/WR,_DIGOUT_STAT[0],-,"Status digital output 1, 0=not active, 1=active"
6631,short,RD/WR,_DIGOUT_STAT[1],-,"Status digital output 2, 0=not active, 1=active"
6632,short,RD,_DIGIN_STAT[0],-,"Status digital input 1, 0=not active, 1=active"
6633,short,RD,_DIGIN_STAT[1],-,"Status digital input 2, 0=not active, 1=active"
6634,uint,RD/WR,_EVT_COUNT,-,Event counter
6636,uint,RD/WR,_FLAG_COUNT,-,Flag counter
6638,uint,RD/WR,_TRANS_COUNT,-,"Error counter, transients"
6640,uint,RD/WR,_HWW_COUNT,-,"Error counter, half-cycle effektive val."
6642,uint,RD/WR,_RX232_COUNT,-,"Error counter, receive RS232"
6644,uint,RD/WR,_TX232_COUNT,-,"Error counter, send RS232"
6646,uint,RD/WR,_ERR232_COUNT,-,"Error counter, RS232"
6648,uint,RD/WR,_RX485_COUNT,-,"Error counter, receive RS485"
6650,uint,RD/WR,_TX485_COUNT,-,"Error counter, send RS485"
6652,uint,RD/WR,_ERR485_COUNT,-,"Error counter, RS485"
6689,float,RD/WR,_CTPRIM[0],A,"L1, L2, L3; Current transformer, primary"
6691,float,RD/WR,_CTPRIM[1],A,"L4; Current transformer, primary"
6693,float,RD/WR,_CTSEC[0],A,"L1, L2, L3; Current transf., secondary"
6695,float,RD/WR,_CTSEC[1],A,"L4; Current transformer, secondary"
6697,float,RD/WR,_VTPRIM[0],V,"L1, L2, L3; Voltage transformer, primary"
6699,float,RD/WR,_VTPRIM[1],V,"L4; Voltage transformer, primary"
6701,float,RD/WR,_VTSEC[0],V,"L1, L2, L3; Voltage transformer, secondary"
6703,float,RD/WR,_VTSEC[1],V,"L4; Voltage transformer, secondary"
6705,float,RD/WR,_IRATED[0],A,"Nominal current transf.; I L1, I L2, I L3"
6707,float,RD/WR,_IRATED[1],A,Nominal current transformer; I L4
6709,float,RD/WR,_NOMINAL_U[0],V,"Nominal voltage; L1, L2, L3"
6711,float,RD/WR,_NOMINAL_U[1],V,Nominal voltage; L4
6713,float,RD/WR,_NOMINAL_I[0],A,"Nominal current; L1, L2, L3"
6715,float,RD/WR,_NOMINAL_I[1],A,Nominal current; L4
6717,float,RD/WR,_TRNS_DELTA[0],%,Only for internal use
6719,float,RD/WR,_TRNS_DELTA[1],%,Only for internal use
6721,float,RD/WR,_TRNS_I_ABS[0],%,Only for internal use
6723,float,RD/WR,_TRNS_I_ABS[1],%,Only for internal use
6725,float,RD/WR,_TRNS_U_ABS[0],%,Only for internal use
6727,float,RD/WR,_TRNS_U_ABS[1],%,Only for internal use
6741,float,RD/WR,_U_EVT_OFF[0],%,Only for internal use
6743,float,RD/WR,_U_EVT_OFF[1],%,Only for internal use
6745,float,RD/WR,_NOMINAL_F,Hz,Nominal frequency 50Hz or 60Hz
6747,short,RD/WR,_FLICKER_SYSTEM,-,Only for internal use
6854,int,RD/WR,_DISP_LANGUAGE,-,Only for internal use
6856,uint,RD,_SERNR,-,Only for internal use
6858,uint,RD,_PRODNR,-,Only for internal use
6860,int,RD/WR,_MBUSADDR,-,Only for internal use
6862,int,RD/WR,_MODE485,-,Only for internal use
6864,int,RD/WR,_BAUD485,-,Only for internal use
6866,uint,RD,_IP_ADDR,-,Network address
6868,uint,RD,_IP_MASK,-,Network mask
6870,uint,RD,_IP_GATE,-,Gateway
6872,int,RD/WR,_DHCPMODE,-,Bootp = 1; off = 0; DHCP = 2
6874,int,RD/WR,_BRIGHTNESS,-,Brightness display
6876,short,RD/WR,_STBY_TIME,-,Standby time
6877,short,RD/WR,_STBY_CONTRAST,-,Standby contrast
6878,short,RD/WR,_SCREENSASVE,-,"Screensaver, 1=on, 0=off"
6879,short,RD/WR,_DISP_SPEED,-,Display change time
6880,short,RD/WR,_DISP_ROT,-,0= Autom. display change on
6881,short,RD/WR,_ROT_TIME,-,Rotation time display
6882,int,RD/WR,_KEY1,-,Status button 1
6884,int,RD/WR,_KEY2,-,Status button 2
6886,int,RD/WR,_KEY3,-,Status button 3
6888,int,RD/WR,_KEY4,-,Status button 4
6890,int,RD/WR,_KEY5,-,Status button 5
6892,int,RD/WR,_KEY6,-,Status button 6
6894,uint,RD/WR,_DEBUG_IP,-,Only for internal use
6896,int,RD/WR,_TIME_ZONE,s,Time zone
6898,int,RD/WR,_STIME,s,Only for internal use
6900,short,RD/WR,_SDAY,-,Start day of summer/winter switchover (spring)
6901,short,RD/WR,_SHOUR,h,Start hour of summer/winter switchover
6902,short,RD/WR,_SMON,-,Start month of summer/winter switchover
6903,short,RD/WR,_SMIN,min,Start minute of summer/winter switchover
6904,short,RD/WR,_SDOW,-,Summer/winter switchover (spring)
6905,short,RD/WR,_EDAY,-,Start day of summer/winter switchover (autumn)
6906,short,RD/WR,_EHOUR,h,Start hour of summer/winter switchover
6907,short,RD/WR,_EMON,-,Start month of summer/winter switchover
6908,short,RD/WR,_EMIN,min,Start minute of summer/winter switchover
6909,short,RD/WR,_EDOW,-,Summer/winter switchover (autumn)
6910,int,RD/WR,_WAVE_START_PRE,-,Only for internal use
6912,int,RD/WR,_WAVE_START_POST,-,Only for internal use
6916,int,RD/WR,_EVT_VAL_PRE,-,Only for internal use
6918,int,RD/WR,_EVT_VAL_POST,-,Only for internal use
6920,int,RD/WR,_TRNS_MODE,-,Only for internal use
6922,int,RD/WR,_CON_AUX_MODE,-,Only for internal use
6924,int,RD/WR,_CON_MODE,-,Only for internal use
6926,int,RD/WR,_PHASE_MODE,-,Only for internal use
6928,short,RD/WR,_COLOR[0],-,Only for internal use
6929,short,RD/WR,_COLOR[1],-,Only for internal use
6930,short,RD/WR,_COLOR[2],-,Only for internal use
6931,short,RD/WR,_COLOR[3],-,Only for internal use
6932,short,RD/WR,_COLOR[4],-,Only for internal use
6933,short,RD/WR,_COLOR[5],-,Only for internal use
6934,short,RD/WR,_COLOR[6],-,Only for internal use
6935,short,RD/WR,_COLOR[7],-,Only for internal use
8424,float,RD/WR,_PULSWERT[0],-,Wh/n Pulse value for input 1
8426,float,RD/WR,_PULSWERT[1],-,Wh/n Pulse value for input 2
8438,int,RD/WR,_TFTP_FILE_NR,-,Only for internal use
8440,int,RD/WR,_TFTP_NEWFILE,-,Only for internal use
8442,int,RD/WR,_DIGOUTEVT[0],-,bin Only for internal use
8446,int,RD/WR,_DIGOUTEVT[1],-,bin Only for internal use
8450,int,RD/WR,_DIGOUTEVT_TIME[0],-,0.01s Only for internal use
8452,int,RD/WR,_DIGOUTEVT_TIME[1],-,0.01s Only for internal use
8454,short,RD/WR,_INVERT_DIGOUT[0],-,bool Only for internal use
8455,short,RD/WR,_INVERT_DIGOUT[1],-,bool Only for internal use
10258,int,RD,_KORR_INT,-,Only for internal use
10260,int,RD/WR,_QUARZ_KORR_NTP,-,ppm Only for internal use
10262,float,RD/WR,_RC_FREQ,Hz,Only for internal use
10264,int,RD/WR,_BACNET_SENDIAM_TIME,s,Only for internal use
10459,int,RD/WR,_FILEMAGIC,-,Only for internal use
10461,int,RD/WR,_MODE_NTP,-,Only for internal use
10463,int,RD/WR,_QUARZ_KORR,-,ppm Only for internal use
11529,int,RD/WR,_JASIC_VAR,-,Only for internal use
11533,uint,RD/WR,_MASTER_TIMEOUT,-,msec Only for internal use
11535,int,RD/WR,_ED_PASSWD,-,Only for internal use
11537,int,RD/WR,_HTML_PASSWD,-,Password HTML
11539,int,RD/WR,_PASSWD_MODE,-,Password mode
11541,float,RD,_CHALLENGE,-,Only for internal use
11543,uint,RD,_EMAX_PASSWORD,-,Passwort EMAX
11545,uint,RD,_BACNET_PASSWORD,-,Passwort BACnet
11547,short,RD,_FORBID_HTML,-,Only for internal use
11548,short,RD,_FORBID_CFG_HTML,-,Only for internal use
11549,short,RD,_FORBID_FTP,-,Only for internal use
11550,short,RD,_FORBID_CFG_FTP,-,Only for internal use
11551,short,RD,_FORBID_MODETH,-,Only for internal use
11552,short,RD,_FORBID_CFG_MODETH,-,Only for internal use
11553,short,RD,_FORBID_BACNET,-,Only for internal use
11554,short,RD,_IP_UP,-,Only for internal use
11684,short,RD/WR,_CH_MAP[0],-,Only for internal use
11685,short,RD/WR,_CH_MAP[1],-,Only for internal use
11686,short,RD/WR,_CH_MAP[2],-,Only for internal use
11687,short,RD/WR,_CH_MAP[3],-,Only for internal use
11688,short,RD/WR,_CH_MAP[4],-,Only for internal use
11689,short,RD/WR,_CH_MAP[5],-,Only for internal use
11690,short,RD/WR,_CH_MAP[6],-,Only for internal use
11691,short,RD/WR,_CH_MAP[7],-,Only for internal use
11692,float,RD,_NTP_DIV,s,Only for internal use
11694,float,RD,_NTP_TURNAROUND,s,Only for internal use
11696,float,RD,_NTP_KORR,-,ppm Only for internal use
11754,int,RD/WR,_MTU_SIZE,-,Only for internal use
11808,float,RD/WR,_IQH_T3[0],varh,"Reactive energy L1, inductive, rate 3"
11810,float,RD/WR,_IQH_T3[1],varh,"Reactive energy L2, inductive, rate 3"
11812,float,RD/WR,_IQH_T3[2],varh,"Reactive energy L3, inductive, rate 3"
11814,float,RD/WR,_IQH_T3[3],varh,"Reactive energy L4, inductive, rate 3"
11816,float,RD/WR,_IQH_T3[4],varh,"Reactive energy L1..L3, inductive, rate 3"
11818,float,RD/WR,_IQH_T3[5],varh,"Reactive energy L1..L4, inductive, rate 3"
11820,float,RD/WR,_IQH_T4[0],varh,"Reactive energy L1, inductive, rate 4"
11822,float,RD/WR,_IQH_T4[1],varh,"Reactive energy L2, inductive, rate 4"
11824,float,RD/WR,_IQH_T4[2],varh,"Reactive energy L3, inductive, rate 4"
11826,float,RD/WR,_IQH_T4[3],varh,"Reactive energy L4, inductive, rate 4"
11828,float,RD/WR,_IQH_T4[4],varh,"Reactive energy L1..L3, inductive, rate 4"
11830,float,RD/WR,_IQH_T4[5],varh,"Reactive energy L1..L4, inductive, rate 4"
11832,float,RD/WR,_SNMP_USERVAR[0],-,Only for internal use
11834,float,RD/WR,_SNMP_USERVAR[1],-,Only for internal use
11836,float,RD/WR,_SNMP_USERVAR[2],-,Only for internal use
11838,float,RD/WR,_SNMP_USERVAR[3],-,Only for internal use
11840,float,RD/WR,_SNMP_USERVAR[4],-,Only for internal use
11842,float,RD/WR,_SNMP_USERVAR[5],-,Only for internal use
11844,float,RD/WR,_SNMP_USERVAR[6],-,Only for internal use
11846,float,RD/WR,_SNMP_USERVAR[7],-,Only for internal use
11848,float,RD/WR,_SNMP_USERVAR[8],-,Only for internal use
11850,float,RD/WR,_SNMP_USERVAR[9],-,Only for internal use
11852,float,RD/WR,_SNMP_USERVAR[10],-,Only for internal use
11854,float,RD/WR,_SNMP_USERVAR[11],-,Only for internal use
11856,float,RD/WR,_SNMP_USERVAR[12],-,Only for internal use
11858,float,RD/WR,_SNMP_USERVAR[13],-,Only for internal use
11860,float,RD/WR,_SNMP_USERVAR[14],-,Only for internal use
11862,float,RD/WR,_SNMP_USERVAR[15],-,Only for internal use
11928,float,RD,_AKT_EVT_BOUND[0],-,Only for internal use
11930,float,RD,_AKT_EVT_BOUND[1],-,Only for internal use
11932,float,RD,_AKT_EVT_BOUND[2],-,Only for internal use
11934,float,RD,_AKT_EVT_BOUND[3],-,Only for internal use
11936,float,RD,_AKT_EVT_BOUND[4],-,Only for internal use
11938,float,RD,_AKT_EVT_BOUND[5],-,Only for internal use
11940,float,RD,_AKT_EVT_BOUND[6],-,Only for internal use
11942,float,RD,_AKT_EVT_BOUND[7],-,Only for internal use
12040,int,RD/WR,_HW_INDEX,-,Device hardware index
12042,float,RD,_S0_POWER[0],W,"Input 1, measured value"
12044,float,RD,_S0_POWER[1],W,"Input 2, measured value"
12046,float,RD/WR,_VWH_MONTH[0],Wh,"Real energy, month high, january, even year"
12048,float,RD/WR,_VWH_MONTH[1],Wh,"Real energy, month high, february, even year"
12050,float,RD/WR,_VWH_MONTH[2],Wh,"Real energy, month high, march, even year"
12052,float,RD/WR,_VWH_MONTH[3],Wh,"Real energy, month high, april, even year"
12054,float,RD/WR,_VWH_MONTH[4],Wh,"Real energy, month high, may, even year"
12056,float,RD/WR,_VWH_MONTH[5],Wh,"Real energy, month high, june, even year"
12058,float,RD/WR,_VWH_MONTH[6],Wh,"Real energy, month high, july, even year"
