Address,Type,Access,Name,Unit,Description
13,float,RD,_FFT_ULL1[0],V,1. Harmonic U L1..L2
15,float,RD,_FFT_ULL1[1],V,2. Harmonic U L1..L2
17,float,RD,_FFT_ULL1[2],V,3. Harmonic U L1..L2
19,float,RD,_FFT_ULL1[3],V,4. Harmonic U L1..L2
21,float,RD,_FFT_ULL1[4],V,5. Harmonic U L1..L2
23,float,RD,_FFT_ULL1[5],V,6. Harmonic U L1..L2
25,float,RD,_FFT_ULL1[6],V,7. Harmonic U L1..L2
27,float,RD,_FFT_ULL1[7],V,8. Harmonic U L1..L2
29,float,RD,_FFT_ULL1[8],V,9. Harmonic U L1..L2
31,float,RD,_FFT_ULL1[9],V,10. Harmonic U L1..L2
33,float,RD,_FFT_ULL1[10],V,11. Harmonic U L1..L2
35,float,RD,_FFT_ULL1[11],V,12. Harmonic U L1..L2
37,float,RD,_FFT_ULL1[12],V,13. Harmonic U L1..L2
39,float,RD,_FFT_ULL1[13],V,14. Harmonic U L1..L2
41,float,RD,_FFT_ULL1[14],V,15. Harmonic U L1..L2
43,float,RD,_FFT_ULL1[15],V,16. Harmonic U L1..L2
45,float,RD,_FFT_ULL1[16],V,17. Harmonic U L1..L2
47,float,RD,_FFT_ULL1[17],V,18. Harmonic U L1..L2
49,float,RD,_FFT_ULL1[18],V,19. Harmonic U L1..L2
51,float,RD,_FFT_ULL1[19],V,20. Harmonic U L1..L2
53,float,RD,_FFT_ULL1[20],V,21. Harmonic U L1..L2
55,float,RD,_FFT_ULL1[21],V,22. Harmonic U L1..L2
57,float,RD,_FFT_ULL1[22],V,23. Harmonic U L1..L2
59,float,RD,_FFT_ULL1[23],V,24. Harmonic U L1..L2
61,float,RD,_FFT_ULL1[24],V,25. Harmonic U L1..L2
63,float,RD,_FFT_ULL1[25],V,26. Harmonic U L1..L2
65,float,RD,_FFT_ULL1[26],V,27. Harmonic U L1..L2
67,float,RD,_FFT_ULL1[27],V,28. Harmonic U L1..L2
69,float,RD,_FFT_ULL1[28],V,29. Harmonic U L1..L2
71,float,RD,_FFT_ULL1[29],V,30. Harmonic U L1..L2
73,float,RD,_FFT_ULL1[30],V,31. Harmonic U L1..L2
75,float,RD,_FFT_ULL1[31],V,32. Harmonic U L1..L2
77,float,RD,_FFT_ULL1[32],V,33. Harmonic U L1..L2
79,float,RD,_FFT_ULL1[33],V,34. Harmonic U L1..L2
81,float,RD,_FFT_ULL1[34],V,35. Harmonic U L1..L2
83,float,RD,_FFT_ULL1[35],V,36. Harmonic U L1..L2
85,float,RD,_FFT_ULL1[36],V,37. Harmonic U L1..L2
87,float,RD,_FFT_ULL1[37],V,38. Harmonic U L1..L2
89,float,RD,_FFT_ULL1[38],V,39. Harmonic U L1..L2
91,float,RD,_FFT_ULL1[39],V,40. Harmonic U L1..L2
93,float,RD,_FFT_ULL1[40],V,41. Harmonic U L1..L2
95,float,RD,_FFT_ULL1[41],V,42. Harmonic U L1..L2
97,float,RD,_FFT_ULL1[42],V,43. Harmonic U L1..L2
99,float,RD,_FFT_ULL1[43],V,44. Harmonic U L1..L2
101,float,RD,_FFT_ULL1[44],V,45. Harmonic U L1..L2
103,float,RD,_FFT_ULL1[45],V,46. Harmonic U L1..L2
105,float,RD,_FFT_ULL1[46],V,47. Harmonic U L1..L2
107,float,RD,_FFT_ULL1[47],V,48. Harmonic U L1..L2
109,float,RD,_FFT_ULL1[48],V,49. Harmonic U L1..L2
111,float,RD,_FFT_ULL1[49],V,50. Harmonic U L1..L2
113,float,RD,_FFT_ULL1[50],V,51. Harmonic U L1..L2
115,float,RD,_FFT_ULL1[51],V,52. Harmonic U L1..L2
117,float,RD,_FFT_ULL1[52],V,53. Harmonic U L1..L2
119,float,RD,_FFT_ULL1[53],V,54. Harmonic U L1..L2
121,float,RD,_FFT_ULL1[54],V,55. Harmonic U L1..L2
123,float,RD,_FFT_ULL1[55],V,56. Harmonic U L1..L2
125,float,RD,_FFT_ULL1[56],V,57. Harmonic U L1..L2
127,float,RD,_FFT_ULL1[57],V,58. Harmonic U L1..L2
129,float,RD,_FFT_ULL1[58],V,59. Harmonic U L1..L2
131,float,RD,_FFT_ULL1[59],V,60. Harmonic U L1..L2
133,float,RD,_FFT_ULL1[60],V,61. Harmonic U L1..L2
135,float,RD,_FFT_ULL1[61],V,"62. Harmonic U L1..L2 Fourier analysis Measured values, fourier analysis"
137,float,RD,_FFT_ULL1[62],V,62. Harmonic U L1..L2
139,float,RD,_FFT_ULL2[0],V,1. Harmonic U L2..L3
141,float,RD,_FFT_ULL2[1],V,2. Harmonic U L2..L3
143,float,RD,_FFT_ULL2[2],V,3. Harmonic U L2..L3
145,float,RD,_FFT_ULL2[3],V,4. Harmonic U L2..L3
147,float,RD,_FFT_ULL2[4],V,5. Harmonic U L2..L3
149,float,RD,_FFT_ULL2[5],V,6. Harmonic U L2..L3
151,float,RD,_FFT_ULL2[6],V,7. Harmonic U L2..L3
153,float,RD,_FFT_ULL2[7],V,8. Harmonic U L2..L3
155,float,RD,_FFT_ULL2[8],V,9. Harmonic U L2..L3
157,float,RD,_FFT_ULL2[9],V,10. Harmonic U L2..L3
159,float,RD,_FFT_ULL2[10],V,11. Harmonic U L2..L3
161,float,RD,_FFT_ULL2[11],V,12. Harmonic U L2..L3
163,float,RD,_FFT_ULL2[12],V,13. Harmonic U L2..L3
165,float,RD,_FFT_ULL2[13],V,14. Harmonic U L2..L3
167,float,RD,_FFT_ULL2[14],V,15. Harmonic U L2..L3
169,float,RD,_FFT_ULL2[15],V,16. Harmonic U L2..L3
171,float,RD,_FFT_ULL2[16],V,17. Harmonic U L2..L3
173,float,RD,_FFT_ULL2[17],V,18. Harmonic U L2..L3
175,float,RD,_FFT_ULL2[18],V,19. Harmonic U L2..L3
177,float,RD,_FFT_ULL2[19],V,20. Harmonic U L2..L3
179,float,RD,_FFT_ULL2[20],V,21. Harmonic U L2..L3
181,float,RD,_FFT_ULL2[21],V,22. Harmonic U L2..L3
183,float,RD,_FFT_ULL2[22],V,23. Harmonic U L2..L3
185,float,RD,_FFT_ULL2[23],V,24. Harmonic U L2..L3
187,float,RD,_FFT_ULL2[24],V,25. Harmonic U L2..L3
189,float,RD,_FFT_ULL2[25],V,26. Harmonic U L2..L3
191,float,RD,_FFT_ULL2[26],V,27. Harmonic U L2..L3
193,float,RD,_FFT_ULL2[27],V,28. Harmonic U L2..L3
195,float,RD,_FFT_ULL2[28],V,29. Harmonic U L2..L3
197,float,RD,_FFT_ULL2[29],V,30. Harmonic U L2..L3
199,float,RD,_FFT_ULL2[30],V,31. Harmonic U L2..L3
201,float,RD,_FFT_ULL2[31],V,32. Harmonic U L2..L3
203,float,RD,_FFT_ULL2[32],V,33. Harmonic U L2..L3
205,float,RD,_FFT_ULL2[33],V,34. Harmonic U L2..L3
207,float,RD,_FFT_ULL2[34],V,35. Harmonic U L2..L3
209,float,RD,_FFT_ULL2[35],V,36. Harmonic U L2..L3
211,float,RD,_FFT_ULL2[36],V,37. Harmonic U L2..L3
213,float,RD,_FFT_ULL2[37],V,38. Harmonic U L2..L3
215,float,RD,_FFT_ULL2[38],V,39. Harmonic U L2..L3
