Address,Type,Access,Name,Unit,Description
4723,float,RD/WR,_ULN_MAX[0],V,"Max. value, voltage L1-N"
4725,float,RD/WR,_ULN_MAX[1],V,"Max. value, voltage L2-N"
4727,float,RD/WR,_ULN_MAX[2],V,"Max. value, voltage L3-N"
4729,float,RD/WR,_ULN_MAX[3],V,"Max. value, voltage L4-N"
4731,float,RD/WR,_ULL_MAX[0],V,"Max. value, phase conductor voltage; L1-L2"
4733,float,RD/WR,_ULL_MAX[1],V,"Max. value, phase conductor voltage; L2-L3"
4735,float,RD/WR,_ULL_MAX[2],V,"Max. value, phase conductor voltage; L3-L1"
4737,float,RD/WR,_ULN_CF_MAX[0],-,"Max. value, crest factor of the Voltage U L1-N"
4739,float,RD/WR,_ULN_CF_MAX[1],-,"Max. value, crest factor of the Voltage U L2-N"
4741,float,RD/WR,_ULN_CF_MAX[2],-,"Max. value, crest factor of the Voltage U L3-N"
4743,float,RD/WR,_ULN_CF_MAX[3],-,"Max. value, crest factor of the Voltage U L4-N"
4745,float,RD/WR,_ULL_CF_MAX[0],-,"Max. value, crest factor of the Voltage U L1-L2"
4747,float,RD/WR,_ULL_CF_MAX[1],-,"Max. value, crest factor of the Voltage U L2-L3"
4749,float,RD/WR,_ULL_CF_MAX[2],-,"Max. value, crest factor of the Voltage U L3-L1"
4751,float,RD/WR,_UN_MAX,V,"Max. value, zero sequence"
4753,float,RD/WR,_UM_MAX,V,"Max. value, positive sequence"
4755,float,RD/WR,_UG_MAX,V,"Min. value, negative sequence"
4757,float,RD/WR,_URC_MAX[0],V,"Max. value, ripple control signal, U L1-N, (61000-4-30)"
4759,float,RD/WR,_URC_MAX[1],V,"Max. value, ripple control signal, U L2-N, (61000-4-30)"
4761,float,RD/WR,_URC_MAX[2],V,"Max. value, ripple control signal, U L3-N, (61000-4-30)"
4763,float,RD/WR,_URC_MAX[3],V,"Max. value, ripple control signal, U L4-N, (61000-4-30)"
4765,float,RD/WR,_THD_ULN_MAX[0],%,"Max. value, harmonic, THD,U L1-N"
4767,float,RD/WR,_THD_ULN_MAX[1],%,"Max. value, harmonic, THD,U L2-N"
4769,float,RD/WR,_THD_ULN_MAX[2],%,"Max. value, harmonic, THD,U L3-N"
4771,float,RD/WR,_THD_ULN_MAX[3],%,"Max. value, harmonic, THD,U L4-N"
4773,float,RD/WR,_THD_ZLN_MAX[0],%,"Max. value, interharmonics, ZHD, U, L1"
4775,float,RD/WR,_THD_ZLN_MAX[1],%,"Max. value, interharmonics, ZHD, U, L2"
4777,float,RD/WR,_THD_ZLN_MAX[2],%,"Max. value, interharmonics, ZHD, U, L3"
4779,float,RD/WR,_THD_ZLN_MAX[3],%,"Max. value, interharmonics, ZHD, U, L4"
4781,float,RD/WR,_ULN_OVER_MAX[0],%,"Max. value, over difference, U L1 (61000-4-30)"
4783,float,RD/WR,_ULN_OVER_MAX[1],%,"Max. value, over difference, U L2 (61000-4-30)"
4785,float,RD/WR,_ULN_OVER_MAX[2],%,"Max. value, over difference, U L3 (61000-4-30)"
