Address,Type,Access,Name,Unit,Description
4211,float,RD/WR,_ULN_AVG[0],V,"Mean value, voltage U L1-N"
4213,float,RD/WR,_ULN_AVG[1],V,"Mean value, voltage U L2-N"
4215,float,RD/WR,_ULN_AVG[2],V,"Mean value, voltage U L3-N"
4217,float,RD/WR,_ULN_AVG[3],V,"Mean value, voltage U L4-N"
4219,float,RD/WR,_ULL_AVG[0],V,"Mean value, voltage U L1-L2"
4221,float,RD/WR,_ULL_AVG[1],V,"Mean value, voltage U L2-L3"
4223,float,RD/WR,_ULL_AVG[2],V,"Mean value, voltage U L3-L1"
4225,float,RD/WR,_ULN_CF_AVG[0],-,"Mean value, crest factor of the Voltage U L1-N"
4227,float,RD/WR,_ULN_CF_AVG[1],-,"Mean value, crest factor of the Voltage U L2-N"
4229,float,RD/WR,_ULN_CF_AVG[2],-,"Mean value, crest factor of the Voltage U L3-N"
4231,float,RD/WR,_ULN_CF_AVG[3],-,"Mean value, crest factor of the Voltage U L4-N"
4233,float,RD/WR,_ULL_CF_AVG[0],-,"Mean value, crest factor of the Voltage U L1-L2"
4235,float,RD/WR,_ULL_CF_AVG[1],-,"Mean value, crest factor of the Voltage U L2-L3"
4237,float,RD/WR,_ULL_CF_AVG[2],-,"Mean value, crest factor of the Voltage U L3-L1"
4239,float,RD/WR,_UN_AVG,V,"Mean value, zero sequence"
4241,float,RD/WR,_UM_AVG,V,"Mean value, positive sequence"
4243,float,RD/WR,_UG_AVG,V,"Mean value, negative sequence"
4245,float,RD/WR,_THD_ULN_AVG[0],%,"Mean value, harmonic, THD,U L1-N"
4247,float,RD/WR,_THD_ULN_AVG[1],%,"Mean value, harmonic, THD,U L2-N"
4249,float,RD/WR,_THD_ULN_AVG[2],%,"Mean value, harmonic, THD,U L3-N"
4251,float,RD/WR,_THD_ULN_AVG[3],%,"Mean value, harmonic, THD,U L4-N"
4253,float,RD/WR,_THD_ZLN_AVG[0],%,"Mean value, interharmonics, ZHD, U, L1"
4255,float,RD/WR,_THD_ZLN_AVG[1],%,"Mean value, interharmonics, ZHD, U, L2"
4257,float,RD/WR,_THD_ZLN_AVG[2],%,"Mean value, interharmonics, ZHD, U, L3"
4259,float,RD/WR,_THD_ZLN_AVG[3],%,"Mean value, interharmonics, ZHD, U, L4"
4261,float,RD/WR,_ULN_OVER_AVG[0],%,"Mean value, over difference, U L1 (61000-4-30)"
4263,float,RD/WR,_ULN_OVER_AVG[1],%,"Mean value, over difference, U L2 (61000-4-30)"
4265,float,RD/WR,_ULN_OVER_AVG[2],%,"Mean value, over difference, U L3 (61000-4-30)"
4267,float,RD/WR,_ULN_OVER_AVG[3],%,"Mean value, over difference, U L4 (61000-4-30)"
4269,float,RD/WR,_ULN_UNDER_AVG[0],%,"Mean value, under difference, U L1 (61000-4-30)"
4271,float,RD/WR,_ULN_UNDER_AVG[1],%,"Mean value, under difference, U L1 (61000-4-30)"
4273,float,RD/WR,_ULN_UNDER_AVG[2],%,"Mean value, under difference, U L1 (61000-4-30)"
4275,float,RD/WR,_ULN_UNDER_AVG[3],%,"Mean value, under difference, U L1 (61000-4-30)"
4277,float,RD/WR,_ULN_NEG_PEAK_AVG[0],V,"Mean value, peak value negative, U L1-N"
4279,float,RD/WR,_ULN_NEG_PEAK_AVG[1],V,"Mean value, peak value negative, U L2-N"
4281,float,RD/WR,_ULN_NEG_PEAK_AVG[2],V,"Mean value, peak value negative, U L3-N"
4283,float,RD/WR,_ULN_NEG_PEAK_AVG[3],V,"Mean value, peak value negative, U L4-N"
4285,float,RD/WR,_ULN_POS_PEAK_AVG[0],V,"Mean value, peak value positive, U L1-N"
4287,float,RD/WR,_ULN_POS_PEAK_AVG[1],V,"Mean value, peak value positive, U L2-N"
4289,float,RD/WR,_ULN_POS_PEAK_AVG[2],V,"Mean value, peak value positive, U L3-N"
4291,float,RD/WR,_ULN_POS_PEAK_AVG[3],V,"Mean value, peak value positive, U L4-N"
4293,float,RD/WR,_ULN_PEAK_PEAK_AVG[0],V,"Mean value, peak-peak value, U L1-N"
4295,float,RD/WR,_ULN_PEAK_PEAK_AVG[1],V,"Mean value, peak-peak value, U L2-N"
4297,float,RD/WR,_ULN_PEAK_PEAK_AVG[2],V,"Mean value, peak-peak value, U L3-N"
4299,float,RD/WR,_ULN_PEAK_PEAK_AVG[3],V,"Mean value, peak-peak value, U L4-N"
4301,float,RD/WR,_THD_ULL_AVG[0],%,"Mean value, harmonic, THD,U L1-L2"
4303,float,RD/WR,_THD_ULL_AVG[1],%,"Mean value, harmonic, THD,U L2-L3"
4305,float,RD/WR,_THD_ULL_AVG[2],%,"Mean value, harmonic, THD,U L3-L1"
4307,float,RD/WR,_THD_ZLL_AVG[0],%,"Mean value, interharmonics, U L1-L2"
4309,float,RD/WR,_THD_ZLL_AVG[1],%,"Mean value, interharmonics, U L2-L3"
4311,float,RD/WR,_THD_ZLL_AVG[2],%,"Mean value, interharmonics, U L3-L1"
4313,float,RD/WR,_ULL_OVER_AVG[0],%,"Mean value, over difference, U L1-L2 (61000-4-30)"
4315,float,RD/WR,_ULL_OVER_AVG[1],%,"Mean value, over difference, U L2-L3 (61000-4-30)"
4317,float,RD/WR,_ULL_OVER_AVG[2],%,"Mean value, over difference, U L3-L1 (61000-4-30)"
4319,float,RD/WR,_ULL_UNDER_AVG[0],%,"Mean value, under difference, U L1-L2 (61000-4-30)"
4321,float,RD/WR,_ULL_UNDER_AVG[1],%,"Mean value, under difference, U L2-L3 (61000-4-30)"
4323,float,RD/WR,_ULL_UNDER_AVG[2],%,"Mean value, under difference, U L3-L1 (61000-4-30) Mean values (float type)"
4325,float,RD/WR,_ULL_NEG_PEAK_AVG[0],V,"Mean value, peak value negative, U L1-L2"
4327,float,RD/WR,_ULL_NEG_PEAK_AVG[1],V,"Mean value, peak value negative, U L2-L3"
4329,float,RD/WR,_ULL_NEG_PEAK_AVG[2],V,"Mean value, peak value negative, U L3-L1"
4331,float,RD/WR,_ULL_POS_PEAK_AVG[0],V,"Mean value, peak value positive, U L1-L2"
4333,float,RD/WR,_ULL_POS_PEAK_AVG[1],V,"Mean value, peak value positive, U L2-L3"
4335,float,RD/WR,_ULL_POS_PEAK_AVG[2],V,"Mean value, peak value positive, U L3-L1"
4337,float,RD/WR,_ULL_PEAK_PEAK_AVG[0],V,"Mean value, peak-peak value, U L1-L2"
4339,float,RD/WR,_ULL_PEAK_PEAK_AVG[1],V,"Mean value, peak-peak value, U L2-L3"
4341,float,RD/WR,_ULL_PEAK_PEAK_AVG[2],V,"Mean value, peak-peak value, U L3-L1"
4343,float,RD/WR,_U_STERN_AVG,V,
4345,float,RD/WR,_U_SYM_AVG,%,"Mean value, unsymmetrical, voltage"
4347,float,RD/WR,_FREQ_AVG,Hz,"Mean value, measured frequency"
4349,float,RD/WR,_NORM_FREQ_AVG,Hz,"Mean value, nominal frequency"
4351,float,RD/WR,_PLN_AVG[0],W,"Mean value, real power L1"
4353,float,RD/WR,_PLN_AVG[1],W,"Mean value, real power L2"
4355,float,RD/WR,_PLN_AVG[2],W,"Mean value, real power L3"
4357,float,RD/WR,_PLN_AVG[3],W,"Mean value, real power L4"
4359,float,RD/WR,_P_SUM_AVG,W,"Mean value, sum; P = P1 + P2 + P3 + P4"
4361,float,RD/WR,_Q_SUM_AVG,var,"Mean value, mains frequency reactive power Sum; Q = Q1 + Q2 + Q3 + Q4"
4363,float,RD/WR,_QLN_AVG[0],var,"Mean value, reactive power L1 (fundamental comp.)"
4365,float,RD/WR,_QLN_AVG[1],var,"Mean value, reactive power L2 (fundamental comp.)"
4367,float,RD/WR,_QLN_AVG[2],var,"Mean value, reactive power L3 (fundamental comp.)"
4369,float,RD/WR,_QLN_AVG[3],var,"Mean value, reactive power L4 (fundamental comp.)"
4371,float,RD/WR,_P_SUM3_AVG,W,"Mean value, Sum; P = P1 + P2 + P3"
4373,float,RD/WR,_Q_SUM3_AVG,var,"Mean value, mains frequency reactive power Sum; Q = Q1 + Q2 + Q3"
4375,float,RD/WR,_ILN_AVG[0],A,"Mean value, apparent current, L1"
4377,float,RD/WR,_ILN_AVG[1],A,"Mean value, apparent current, L2"
4379,float,RD/WR,_ILN_AVG[2],A,"Mean value, apparent current, L3"
4381,float,RD/WR,_ILN_AVG[3],A,"Mean value, apparent current, L4"
