Address,Type,Access,Name,Unit,Description
3793,float,RD,_THD_ULL[0],%,"Harmonic, THD,U L1-L2"
3795,float,RD,_THD_ULL[1],%,"Harmonic, THD,U L2-L3"
3797,float,RD,_THD_ULL[2],%,"Harmonic, THD,U L1-L3"
3799,float,RD,_ZHD_ULL[0],%,"Interharmonics, U L1-L2"
3801,float,RD,_ZHD_ULL[1],%,"Interharmonics, U L2-L3"
3803,float,RD,_ZHD_ULL[2],%,"Interharmonics, U L1-L3"
3805,float,RD,_THD_ULN[0],%,"Harmonic, THD,U L1-N"
3807,float,RD,_THD_ULN[1],%,"Harmonic, THD,U L2-N"
3809,float,RD,_THD_ULN[2],%,"Harmonic, THD,U L3-N"
3811,float,RD,_THD_ULN[3],%,"Harmonic, THD,U L4-N"
3813,float,RD,_THD_IL[0],%,"Harmonic, THD,I1 L1"
3815,float,RD,_THD_IL[1],%,"Harmonic, THD,I2 L2"
3817,float,RD,_THD_IL[2],%,"Harmonic, THD,I3 L3"
3819,float,RD,_THD_IL[3],%,"Harmonic, THD,I4 L4"
3821,float,RD,_ZHD_ULN[0],%,"Interharmonics, ZHD, U, L1"
3823,float,RD,_ZHD_ULN[1],%,"Interharmonics, ZHD, U, L2"
3825,float,RD,_ZHD_ULN[2],%,"Interharmonics, ZHD, U, L3"
3827,float,RD,_ZHD_ULN[3],%,"Interharmonics, ZHD, U, L4"
3829,float,RD,_ZHD_ILN[0],%,"Interharmonics, ZHD, I, L1"
3831,float,RD,_ZHD_ILN[1],%,"Interharmonics, ZHD, I, L2"
3833,float,RD,_ZHD_ILN[2],%,"Interharmonics, ZHD, I, L3"
3835,float,RD,_ZHD_ILN[3],%,"Interharmonics, ZHD, I, L4"
3837,float,RD,_KFACT[0],-,"K-Factor, L1"
3839,float,RD,_KFACT[1],-,"K-Factor, L2"
3841,float,RD,_KFACT[2],-,"K-Factor, L3"
3843,float,RD,_KFACT[3],-,"K-Factor, L4"
3845,float,RD,_ULN[0],V,Voltage L1-N
3847,float,RD,_ULN[1],V,Voltage L2-N
3849,float,RD,_ULN[2],V,Voltage L3-N
3851,float,RD,_ULN[3],V,Voltage L4-N
3853,float,RD,_ILN[0],A,"Apparent current, L1"
3855,float,RD,_ILN[1],A,"Apparent current, L2"
3857,float,RD,_ILN[2],A,"Apparent current, L3"
3859,float,RD,_ILN[3],A,"Apparent current, L4"
3861,float,RD,_PLN[0],W,Real power L1
3863,float,RD,_PLN[1],W,Real power L2
3865,float,RD,_PLN[2],W,Real power L3
3867,float,RD,_PLN[3],W,Real power L4
3869,float,RD,_QLN[0],var,Reactive power L1 (fundamental comp.)
3871,float,RD,_QLN[1],var,Reactive power L2 (fundamental comp.)
3873,float,RD,_QLN[2],var,Reactive power L3 (fundamental comp.)
3875,float,RD,_QLN[3],var,Reactive power L4 (fundamental comp.)
3877,float,RD,_SLN[0],VA,Apparent power L1
3879,float,RD,_SLN[1],VA,Apparent power L2
3881,float,RD,_SLN[2],VA,Apparent power L3
3883,float,RD,_SLN[3],VA,Apparent power L4
3885,float,RD,_DLN[0],var,Distortion power factor; L1
3887,float,RD,_DLN[1],var,Distortion power factor; L2
