Address,Type,Access,Name,Unit,Description
4549,float,RD/WR,_ULN_MIN[0],V,"Min. value, voltage L1-N"
4551,float,RD/WR,_ULN_MIN[1],V,"Min. value, voltage L2-N"
4553,float,RD/WR,_ULN_MIN[2],V,"Min. value, voltage L3-N"
4555,float,RD/WR,_ULN_MIN[3],V,"Min. value, voltage L4-N"
4557,float,RD/WR,_ULL_MIN[0],V,"Min. value, phase conductor voltage; L1-L2"
4559,float,RD/WR,_ULL_MIN[1],V,"Min. value, phase conductor voltage; L2-L3"
4561,float,RD/WR,_ULL_MIN[2],V,Min. value phase conductor voltage; L3-L1
4563,float,RD/WR,_ULN_CF_MIN[0],-,"Min. value, crest factor of the Voltage U L1-N"
4565,float,RD/WR,_ULN_CF_MIN[1],-,"Min. value, crest factor of the Voltage U L2-N"
4567,float,RD/WR,_ULN_CF_MIN[2],-,"Min. value, crest factor of the Voltage U L3-N"
4569,float,RD/WR,_ULN_CF_MIN[3],-,"Min. value, crest factor of the Voltage U L4-N"
4571,float,RD/WR,_ULL_CF_MIN[0],-,"Min. value, crest factor of the Voltage U L1-L2"
4573,float,RD/WR,_ULL_CF_MIN[1],-,"Min. value, crest factor of the Voltage U L2-L3"
4575,float,RD/WR,_ULL_CF_MIN[2],-,"Min. value, crest factor of the Voltage U L3-L1"
4577,float,RD/WR,_UN_MIN,V,"Min. value, zero sequence"
4579,float,RD/WR,_UM_MIN,V,"Min. value, positive sequence"
4581,float,RD/WR,_UG_MIN,V,"Min. value, negative sequence"
4583,float,RD/WR,_URC_MIN[0],V,"Min. value, ripple control signal, U L1-N (61000-4-30)"
4585,float,RD/WR,_URC_MIN[1],V,"Min. value, ripple control signal, U L2-N (61000-4-30)"
4587,float,RD/WR,_URC_MIN[2],V,"Min. value, ripple control signal, U L3-N (61000-4-30)"
4589,float,RD/WR,_URC_MIN[3],V,"Min. value, ripple control signal, U L4-N (61000-4-30)"
4591,float,RD/WR,_THD_ULN_MIN[0],%,"Min. value, harmonic, THD,U L1-N"
4593,float,RD/WR,_THD_ULN_MIN[1],%,"Min. value, harmonic, THD,U L2-N"
4595,float,RD/WR,_THD_ULN_MIN[2],%,"Min. value, harmonic, THD,U L3-N"
4597,float,RD/WR,_THD_ULN_MIN[3],%,"Min. value, harmonic, THD,U L4-N"
4599,float,RD/WR,_THD_ZLN_MIN[0],%,"Min. value, interharmonics, ZHD, U, L1"
4601,float,RD/WR,_THD_ZLN_MIN[1],%,"Min. value, interharmonics, ZHD, U, L2"
4603,float,RD/WR,_THD_ZLN_MIN[2],%,"Min. value, interharmonics, ZHD, U, L3"
